zone,year1,year2,p_value,AD fuller
NO1,2022,2022,0.0,-8.717524016653867
NO2,2022,2022,0.0,-8.950053108361718
NO3,2022,2022,0.0,-9.012858692970216
NO4,2022,2022,0.0,-8.774158170936074
NO5,2022,2022,0.0,-8.706951018616534
NO1,2021,2022,0.0,-12.385461614730351
NO2,2021,2022,0.0,-11.815727937561538
NO3,2021,2022,0.0,-12.621828959111697
NO4,2021,2022,0.0,-12.115075516055203
NO5,2021,2022,0.0,-12.32070394364911
NO1,2020,2022,0.0,-13.918195280196553
NO2,2020,2022,0.0,-13.78047369950757
NO3,2020,2022,0.0,-15.292147184789442
NO4,2020,2022,0.0,-14.101439652459383
NO5,2020,2022,0.0,-14.252528286564154
NO1,2019,2022,0.0,-17.108258507698277
NO2,2019,2022,0.0,-16.159803953720257
NO3,2019,2022,0.0,-17.01608021933173
NO4,2019,2022,0.0,-16.422772876912575
NO5,2019,2022,0.0,-17.03378461930165
NO1,2018,2022,0.0,-18.427517402913857
NO2,2018,2022,0.0,-17.264433078942208
NO3,2018,2022,0.0,-18.84389883439192
NO4,2018,2022,0.0,-18.86615912168316
NO5,2018,2022,0.0,-18.224645190084207
NO1,2017,2022,0.0,-19.647387231536307
NO2,2017,2022,0.0,-17.886497707251767
NO3,2017,2022,0.0,-20.69616142011819
NO4,2017,2022,0.0,-19.47430179873349
NO5,2017,2022,0.0,-19.53324203951238
NO1,2016,2022,0.0,-20.100439202252918
NO2,2016,2022,0.0,-18.08027311321147
NO3,2016,2022,0.0,-21.56297375908759
NO4,2016,2022,0.0,-20.199886527502272
NO5,2016,2022,0.0,-19.946638065797263
