zone,year1,year2,p_value,AD fuller
NO1,2022,2022,0.0,-14.262316290805366
NO2,2022,2022,0.0,-12.909222450026617
NO3,2022,2022,0.0,-12.803707908046546
NO4,2022,2022,0.0,-13.88925780766614
NO5,2022,2022,0.0,-12.596004992218644
NO1,2021,2022,0.0,-20.0504774290277
NO2,2021,2022,0.0,-18.115633040214174
NO3,2021,2022,0.0,-16.21920624037338
NO4,2021,2022,0.0,-18.82405026301073
NO5,2021,2022,0.0,-18.36708865590216
NO1,2020,2022,0.0,-23.105761725905356
NO2,2020,2022,0.0,-21.517048427834936
NO3,2020,2022,0.0,-17.214854370485355
NO4,2020,2022,0.0,-17.70449782529022
NO5,2020,2022,0.0,-18.085653136057587
NO1,2019,2022,0.0,-20.729603631523975
NO2,2019,2022,0.0,-20.010531721067338
NO3,2019,2022,0.0,-19.686879552246253
NO4,2019,2022,0.0,-20.32721349052749
NO5,2019,2022,0.0,-20.83686976076056
NO1,2018,2022,0.0,-23.273392864650614
NO2,2018,2022,0.0,-21.517771073718755
NO3,2018,2022,0.0,-21.966488311981543
NO4,2018,2022,0.0,-22.727359982753896
NO5,2018,2022,0.0,-23.154378116966168
NO1,2017,2022,0.0,-25.58304769927996
NO2,2017,2022,0.0,-23.540007471217052
NO3,2017,2022,0.0,-24.091372875865115
NO4,2017,2022,0.0,-22.37685436983421
NO5,2017,2022,0.0,-25.813358326962994
NO1,2016,2022,0.0,-27.55915142680921
NO2,2016,2022,0.0,-25.205998525730603
NO3,2016,2022,0.0,-25.987262265557966
NO4,2016,2022,0.0,-23.353109884426054
NO5,2016,2022,0.0,-26.18701765391004
